vol_id,vol_name,vol_description,vol_created_at,vol_updated_at,vol_sharing_level,vol_short_name,user_id,user_prename,user_sortname,user_affiliation
603,Equal Access Ownership,Equal Access Ownership Data and Files,2018-03-13T17:38:02.834256Z,2025-03-05T16:34:58.138299Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
605,Remember-Know,Remember-Know,2018-03-15T18:31:56.637630Z,2025-03-05T16:34:58.167920Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
606,RAMP-Wit-Test,RAMP-Wit-Test,2018-03-15T18:37:04.337704Z,2025-03-05T16:34:58.183780Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
609,Memory Monitor - Expert (5s),Memory Monitor - Expert (5s),2018-03-27T18:39:07.644722Z,2025-03-05T16:34:58.218249Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
610,Memory Monitor - Help (5s),Memory Monitor - Help (5s),2018-03-28T13:19:21.129929Z,2025-03-05T16:34:58.232589Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
612,Memory Monitor - Shape (5s),Memory Monitor - Shape (5s),2018-03-29T18:42:15.559107Z,2025-03-05T16:34:58.584970Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
613,Memory Monitor - Shape (7s),Memory Monitor - Shape (7s),2018-03-29T19:40:52.426836Z,2025-03-05T16:34:58.598311Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
614,Memory Monitor - Expert (5s WM),Memory Monitor - Expert (5s WM),2018-03-29T19:59:24.179270Z,2025-03-05T16:34:58.612687Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
615,Memory Monitor - Expert (7s),Memory Monitor - Expert (7s),2018-03-29T20:19:41.149166Z,2025-03-05T16:34:58.626715Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
616,Memory Monitor - Help (7s),Memory Monitor - Help (7s),2018-04-03T19:08:55.184656Z,2025-03-05T16:34:58.639846Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
617,Memory Monitor - Oops,Memory Monitor - Oops,2018-04-04T13:40:48.039226Z,2025-03-05T16:34:58.653163Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
619,Memory Monitor - Percept,Memory Monitor - Percept,2018-04-05T18:07:40.670480Z,2025-03-05T16:34:58.679627Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
620,Memory Monitor - Pilot,Memory Monitor - Pilot,2018-04-05T18:11:22.791243Z,2025-03-05T16:34:58.692848Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
621,Memory Monitor - Oops (Pilot),Memory Monitor - Oops (Pilot),2018-04-05T18:48:04.909480Z,2025-03-05T16:34:58.706445Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
622,Error Ignorant Novel - Confirm,Error Ignorant Novel - Confirm,2018-04-05T18:58:45.121418Z,2025-03-05T16:34:58.720077Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
623,Error Ignorant Novel - PrimeBaseline,Error Ignorant Novel - PrimeBaseline,2018-04-05T19:00:12.960843Z,2025-03-05T16:34:58.733545Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
624,Error Ignorant Novel - Rep,Error Ignorant Novel - Rep,2018-04-05T19:02:57.830207Z,2025-03-05T16:34:58.747326Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
625,Error Ignorant Novel - Video,Error Ignorant Novel - Video,2018-04-05T19:11:08.154226Z,2025-03-05T16:34:58.761450Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
626,Error Ignorant Novel - Video Help,Error Ignorant Novel - Video Help,2018-04-05T19:26:38.454422Z,2025-03-05T16:34:58.774963Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
627,Error Ignorant Novel,Error Ignorant Novel,2018-04-05T19:31:20.071647Z,2025-03-05T16:34:58.803922Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
632,Influencing People - Equal,Influencing People - Equal,2018-04-17T16:52:49.402687Z,2025-03-05T16:34:58.896512Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
633,Influencing People - Equal 2.0,Influencing People - Equal 2.0,2018-04-17T17:29:38.028382Z,2025-03-05T16:34:58.913040Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
634,Influencing People - Equal 3.0,Influencing People - Equal 3.0,2018-04-17T17:34:21.740868Z,2025-03-05T16:34:58.927844Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
635,Influencing People - Less,Influencing People - Less,2018-04-17T17:47:14.846021Z,2025-03-05T16:34:58.941618Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
636,Influencing People - Less 2.0,Influencing People - Less 2.0,2018-04-17T17:51:41.782579Z,2025-03-05T16:34:58.955263Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
637,Influencing People - Needy,Influencing People - Needy,2018-04-17T18:04:35.577564Z,2025-03-05T16:34:58.968551Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
638,Influencing People - Reciprocity,Influencing People - Reciprocity,2018-04-17T18:22:20.880868Z,2025-03-05T16:34:58.982777Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
639,Influencing People - Zero,Influencing People - Zero,2018-04-17T18:23:54.597297Z,2025-03-05T16:34:58.996867Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
640,Self Memory,Self Memory,2018-04-18T15:59:34.509537Z,2025-03-05T16:34:59.012256Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
641,Self Memory - Story,Self Memory - Story,2018-04-18T16:02:07.648763Z,2025-03-05T16:34:59.028582Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
642,Self Memory - Source 2,Self Memory - Source 2,2018-04-18T16:05:36.266879Z,2025-03-05T16:34:59.046406Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
643,Self Memory - Pilot,Self Memory - Pilot,2018-04-18T16:10:13.707049Z,2025-03-05T16:34:59.079731Z,public_overview_only,NA,1117,Vikram,Jaswal,University of Virginia
